feature,pearson_r,pearson_p_value,spearman_rho,spearman_p_value
resume_avg_sentence_length,-0.38094524564389437,0.0,-0.503121153689018,0.0
resume_negative_ratio,-0.3167946024562965,0.0,-0.35867292250295024,0.0
resume_positive_ratio,0.310523365098332,0.0,0.3203147323656602,0.0
resume_numeric_ratio,-0.28609422236947923,0.0,-0.26223122173053387,0.0
resume_sentiment_score,0.2688898572051088,0.0,0.2813744038581643,0.0
sentence_count_ratio,0.2398943348038445,0.0,0.36243663335771303,0.0
resume_flesch_reading_ease,0.2211535932142656,0.0,0.2761047921414978,0.0
resume_sentence_count,0.2033871923177873,0.0,0.35366091960920404,0.0
readability_difference,0.18104029486596318,0.0,0.22305590263527522,0.0
job_avg_sentence_length,0.1546145292868543,0.0,0.1373250224359938,0.0
sentiment_difference,0.15183925476918825,0.0,0.1387991604846314,0.0
job_positive_ratio,0.14906947839519308,0.0,0.11506506794187271,0.0
overlap_resume_ratio,-0.14717665258721085,0.0,-0.16895379085543066,0.0
shared_token_count,-0.13731789925176718,0.0,-0.12409203745627545,0.0
job_negative_ratio,0.13639288803916147,0.0,0.10130170838212185,1.45397491675186e-273
job_sentence_count,-0.1282615921148862,0.0,-0.12933558086772762,0.0
job_avg_word_length,-0.12655893569906787,0.0,-0.11081889135515838,0.0
job_char_count,-0.1262473031142733,0.0,-0.1401701322605494,0.0
job_numeric_ratio,-0.12163423987393383,0.0,-0.15656712399351191,0.0
lexical_diversity_difference,0.11069928398829794,0.0,0.1375427352481715,0.0
resume_avg_word_length,0.09878637409160916,3.46061009767968e-260,0.04856793962746623,3.8298799312122416e-64
resume_char_count,-0.09597752216536913,1.180749843304321e-245,-0.20682187956146852,0.0
job_word_count,-0.0957781269468652,1.2235510517847398e-244,-0.12610828060312484,0.0
resume_word_count,-0.09201469941827825,7.100463477003038e-226,-0.11134780997917448,0.0
resume_lexical_diversity,0.09071191690824246,1.4749499766508187e-219,0.1726093519615681,0.0
word_count_difference,-0.08688423932005027,1.5907839135596542e-201,0.012918742996170709,6.9457573302031664e-06
char_count_difference,-0.08666565287502542,1.6129902023919905e-200,-0.02963867957573368,6.0138693068465635e-25
cosine_similarity,0.08180791881594954,7.997954513572102e-179,0.07312455059658227,3.4344798015756354e-143
jaccard_similarity,-0.07566834458278521,3.2703464745209586e-153,-0.0758094922669848,8.880243152427696e-154
job_lexical_diversity,-0.07484233204255825,6.405371484540519e-150,0.04264573835585089,7.428563910726712e-50
word_count_ratio,-0.07144034000460729,9.567949041062318e-137,0.04676484222799992,1.3460035760813178e-59
job_sentiment_score,0.06875829752431202,8.552292144787276e-127,0.07806573366541589,5.67151510468442e-163
char_count_ratio,-0.0671520935236792,5.107839601970161e-121,0.009991217286073065,0.0005078289820049256
job_flesch_reading_ease,-0.009025413514846039,0.0016865261108482763,-0.024282980291250145,2.896633211515268e-17
sentiment_gap,0.008427186891606113,0.0033641412132378646,0.00201773889803115,0.48262589150411306
overlap_job_ratio,-0.00048684432947372223,0.8654816295082058,-0.041695875684675913,9.785697294015571e-48
