term,coefficient,std_error,t_statistic,p_value
intercept,-10.218052591342557,4.171796158532407,-2.4493173211361214,0.014314136408268618
resume_word_count,0.29461855112753876,0.01078761768919839,27.310807595873502,0.0
job_word_count,0.5999902546157326,0.021440514903235976,27.983948021937536,0.0
resume_char_count,-0.0332217703058986,0.0012538685476941606,-26.495417216575675,0.0
job_char_count,-0.07097948198179584,0.002447497576185705,-29.000838518669177,0.0
resume_sentence_count,0.2573812306075617,0.008704174933846811,29.56985958619883,0.0
job_sentence_count,0.6994853601719343,0.0673793387029319,10.381303432731633,0.0
resume_avg_sentence_length,0.19417454997371225,0.0121770212397347,15.945981053240136,0.0
job_avg_sentence_length,0.231146809522456,0.021434871760179948,10.783680542090423,0.0
resume_avg_word_length,7.551693769764902,0.3384691978771465,22.311317594417925,0.0
job_avg_word_length,3.6660013954695776,0.398514453871586,9.19916795954126,0.0
resume_lexical_diversity,-1.7031553871849292,0.7251523955822295,-2.348686148678382,0.018841378751723203
job_lexical_diversity,-32.53320736943487,1.0804537631475835,-30.110689118855916,0.0
resume_numeric_ratio,-13.771805907513208,1.9985557087159778,-6.890879172120376,5.571765271383811e-12
job_numeric_ratio,-79.52885909548363,7.224720053401243,-11.007881067729835,0.0
resume_flesch_reading_ease,0.16515927004643266,0.008085602513489411,20.426340494835525,0.0
job_flesch_reading_ease,0.06720527573866154,0.007843935651068964,8.567800493047502,0.0
resume_sentiment_score,-5.877458997867484,0.2522586033049068,-23.299340125035723,0.0
job_sentiment_score,-4.995913227094041,0.2641485940610812,-18.91326828693548,0.0
resume_positive_ratio,159.97636937561836,3.6979943948793714,43.26030607216126,0.0
resume_negative_ratio,-394.765442110492,6.076401922133207,-64.96697341111762,0.0
job_positive_ratio,19.44546220450872,4.019845027531145,4.837366135094883,1.3173233430752163e-06
job_negative_ratio,-95.21513384387303,4.540325837607574,-20.97099134498342,0.0
sentiment_difference,-0.8815457716490254,0.1557969722789497,-5.658298481376421,1.5322505708681433e-08
sentiment_gap,-1.8838358526189174,0.14763767594339183,-12.759858488569202,0.0
shared_token_count,-0.5254877006686993,0.04071830288622401,-12.905442108847925,0.0
overlap_resume_ratio,-33.99995164060592,1.4491047500428116,-23.46272872240702,0.0
overlap_job_ratio,64.71563747435017,2.1739998067891886,29.76800516368473,0.0
word_count_ratio,1.1775559673093798,0.24191147390165244,4.8677144093963385,1.1303818261421128e-06
char_count_ratio,-1.539787224146343,0.2777133007377461,-5.544520986412586,2.9537282619784833e-08
sentence_count_ratio,0.09224997434526722,0.019954277569109436,4.623067611732353,3.7849612535278965e-06
word_count_difference,-0.3051768689894353,0.011062865006874967,-27.585699436790065,0.0
char_count_difference,0.03375122778780787,0.0012568962673101386,26.852834768964883,0.0
lexical_diversity_difference,30.830051191694707,0.579877829749251,53.166459571365486,0.0
readability_difference,0.09794573090628059,0.005037055676008106,19.445036387587265,0.0
jaccard_similarity,-45.49764437074915,4.230804688320403,-10.753898542362483,0.0
cosine_similarity,81.48310452390915,1.208420218943784,67.42944486242476,0.0
