,resume_avg_sentence_length,resume_negative_ratio,resume_positive_ratio,resume_numeric_ratio,resume_sentiment_score,sentence_count_ratio,resume_flesch_reading_ease,resume_sentence_count,readability_difference,job_avg_sentence_length,sentiment_difference,job_positive_ratio,score
resume_avg_sentence_length,1.0,0.07466687164758651,-0.6824366591999907,0.2591757005955299,-0.5767772506691257,-0.2770463213858397,-0.375513046973439,-0.36083188981758896,-0.28691463532269096,0.007580960896541511,-0.4264006185632228,-0.0025781030409887788,-0.3809452456438922
resume_negative_ratio,0.07466687164758651,1.0,0.13527545407956673,0.27861627514376835,-0.09901341244574284,-0.1400137486755989,-0.3854522006229657,-0.17647269262473822,-0.3129693199934935,0.002373510643501107,-0.07357507892426432,-0.0019679605223753872,-0.3167946024562933
resume_positive_ratio,-0.6824366591999907,0.13527545407956673,1.0,-0.30537549586819607,0.8015819214959329,0.20046705252451352,-0.04588478592467776,0.2639426379307835,-0.05127083027052607,-0.004765233792703537,0.5847321844454164,0.010883416650595083,0.31052336509832956
resume_numeric_ratio,0.2591757005955299,0.27861627514376835,-0.30537549586819607,1.0,-0.2410592653027662,-0.17657861639380737,-0.34028323332605226,-0.22982765173075326,-0.28435750907857205,3.279363020543658e-05,-0.1777572526809784,-0.002919975149100709,-0.2860942223694759
resume_sentiment_score,-0.5767772506691257,-0.09901341244574284,0.8015819214959329,-0.2410592653027662,1.0,0.45492334915983373,0.07022864326333078,0.5830685189987234,0.04577183124219303,-0.0027644645795770182,0.7320597985271137,0.01148192826533877,0.2688898572051048
sentence_count_ratio,-0.2770463213858397,-0.1400137486755989,0.20046705252451352,-0.17657861639380737,0.45492334915983373,1.0,0.29303772127667765,0.7947762396396189,0.3587388321946498,0.42576018230517443,0.23804640892939055,0.3217863745749475,0.23989433480384023
resume_flesch_reading_ease,-0.375513046973439,-0.3854522006229657,-0.04588478592467776,-0.34028323332605226,0.07022864326333078,0.29303772127667765,1.0,0.38080485330768304,0.8030685859459865,-0.00991032376680419,0.06580714915835399,-0.019137365143443014,0.2211535932142657
resume_sentence_count,-0.36083188981758896,-0.17647269262473822,0.2639426379307835,-0.22982765173075326,0.5830685189987234,0.7947762396396189,0.38080485330768304,1.0,0.3073456418889681,0.005397947983482107,0.42573304242645743,0.00941269994894031,0.2033871923177912
readability_difference,-0.28691463532269096,-0.3129693199934935,-0.05127083027052607,-0.28435750907857205,0.04577183124219303,0.3587388321946498,0.8030685859459865,0.3073456418889681,1.0,0.285456500030563,-0.023949969000326816,0.125978401210019,0.1810402948659626
job_avg_sentence_length,0.007580960896541511,0.002373510643501107,-0.004765233792703537,3.279363020543658e-05,-0.0027644645795770182,0.42576018230517443,-0.00991032376680419,0.005397947983482107,0.285456500030563,1.0,-0.14260136951922958,0.5592873649201497,0.15461452928685543
sentiment_difference,-0.4264006185632228,-0.07357507892426432,0.5847321844454164,-0.1777572526809784,0.7320597985271137,0.23804640892939055,0.06580714915835399,0.42573304242645743,-0.023949969000326816,-0.14260136951922958,1.0,-0.5157904623763004,0.1518392547691884
job_positive_ratio,-0.0025781030409887788,-0.0019679605223753872,0.010883416650595083,-0.002919975149100709,0.01148192826533877,0.3217863745749475,-0.019137365143443014,0.00941269994894031,0.125978401210019,0.5592873649201497,-0.5157904623763004,1.0,0.14906947839519077
score,-0.3809452456438922,-0.3167946024562933,0.31052336509832956,-0.2860942223694759,0.2688898572051048,0.23989433480384023,0.2211535932142657,0.2033871923177912,0.1810402948659626,0.15461452928685543,0.1518392547691884,0.14906947839519077,1.0
