vacancy_group,count,mean_absolute_error,median_absolute_error,rmse,mean_actual_score,mean_predicted_score
ai researcher,211,8.846769938559444,7.256384450133218,10.99029561016872,43.484715639810425,41.709806157568565
mobile developer,309,8.788629250730859,8.898634027222805,9.940791787955758,50.68849514563107,51.12131193118001
qa lead,209,8.384378972041565,7.433243396233394,10.112626652548938,44.4033971291866,43.20793375536995
full stack developer,953,8.321044549538938,8.151910448579194,9.68661377067193,41.34967995802729,41.961585066090485
business analyst,587,8.243719455759544,7.717994616263365,9.790077920150221,37.21093696763203,40.18275503748898
frontend engineer,231,8.174689969284904,7.456167256447266,9.747513276770425,39.403636363636366,37.22052985575161
mobile application developer,267,8.134501822317555,7.1989973872886495,9.778551744873864,37.591947565543066,36.83985978086186
blockchain developer,737,8.077263809659119,7.011354922484923,10.030570717728441,41.08883310719132,39.04183984041373
devops engineer,1220,8.002425578707543,7.421950894406525,9.39545762069331,40.309135245901636,40.62518622046342
ai engineer,1267,7.986842040810183,7.4911309800384736,9.357117737643659,41.14169692186267,41.815614004390405
ui ux designer,374,7.952423312249938,6.689044187062928,9.670345638044033,36.75620320855615,38.12125691745432
data scientist,1310,7.939957407310667,7.278107177059031,9.496886692880521,42.28208015267176,42.57450827965034
it manager,214,7.937540378325809,7.153330302960956,9.8609570707078,44.839205607476636,42.903959967393526
it consultant,409,7.872301089201165,6.479559115560363,9.744145003829349,40.32809290953545,39.5335600471408
frontend developer,487,7.851181011244028,7.372850716135737,9.223648980916929,38.58034907597536,39.74451001050302
product manager,620,7.844988514378275,7.165696217856212,9.33711505002081,39.432637096774194,40.2270874249863
data engineer,784,7.827873986944154,7.122304226063292,9.219351718847522,39.279445153061225,40.32639271758759
data analyst,260,7.800789635663967,7.202566908485041,9.227104675132573,34.54603846153846,36.963858095504875
cloud architect,647,7.7677679673157565,6.875974626392065,9.588017686830733,40.63193199381762,40.331106835654836
machine learning engineer,837,7.754856535039284,7.051384635040886,9.204128122706539,37.39146356033453,38.995018641647526
mobile app developer,360,7.745949580582251,6.500188067488068,9.496159015414317,39.13948611111111,38.19238469649521
cybersecurity analyst,620,7.744402932458951,6.680132501769739,9.606155708770986,40.979064516129036,39.66894700350125
cloud engineer,657,7.713674522657486,7.170136879370638,9.207566459822274,38.720608828006085,39.67942092080139
software engineer,1402,7.702147040409206,6.666478329286454,9.483048211616353,40.802014978602,40.424442739205816
systems analyst,221,7.675732351953443,6.7188792366429695,9.336391539560632,43.76997737556562,43.378986187273604
embedded systems engineer,225,7.597908848943842,5.941524609788388,9.739163093015572,37.71531111111111,36.78903158883941
solutions architect,411,7.548175574573313,6.747926700336684,9.321525214065414,41.412481751824814,41.93963842581134
site reliability engineer,444,7.522453603397533,6.50987537578162,9.239294978316089,39.32425675675676,37.42059917347148
backend developer,1846,7.52037933424571,6.84523277821717,9.047148292345117,37.45937703141928,38.76635986335196
system administrator,256,7.457806471272858,6.442670034201919,8.95386602190348,34.7287890625,35.390399116595134
technical support engineer,209,7.378233736199028,7.004017764596533,8.94891025870321,36.52404306220095,36.322225243170564
security engineer,357,7.297340687990944,6.490676749315526,8.847781953054113,35.863907563025215,36.35501487657492
analytics engineer,287,6.96441611586021,5.868667410829914,8.625284463088784,37.67693379790941,36.638761852050855
game developer,260,6.756824821895466,5.789029805402926,8.562679018897635,38.582211538461536,38.039850916517594
qa engineer,1170,6.196910471788891,4.839955073306308,7.952097749258521,37.97005982905983,38.09003432147236
