feature_1,feature_2,correlation,abs_correlation,abs_corr_with_score_feature_1,abs_corr_with_score_feature_2,recommended_drop
resume_word_count,word_count_difference,0.9986491786368323,0.9986491786368323,0.09201469941827621,0.08688423932005074,word_count_difference
resume_char_count,char_count_difference,0.9974479189159631,0.9974479189159631,0.0959775221653696,0.08666565287502472,char_count_difference
resume_word_count,resume_char_count,0.9973084062897467,0.9973084062897467,0.09201469941827621,0.0959775221653696,resume_word_count
word_count_difference,char_count_difference,0.9970483571970299,0.9970483571970299,0.08688423932005074,0.08666565287502472,char_count_difference
resume_char_count,word_count_difference,0.9959878723659105,0.9959878723659105,0.0959775221653696,0.08688423932005074,word_count_difference
word_count_ratio,char_count_ratio,0.9958880659264951,0.9958880659264951,0.07144034000460603,0.06715209352367797,char_count_ratio
resume_word_count,char_count_difference,0.9947157983964444,0.9947157983964444,0.09201469941827621,0.08666565287502472,char_count_difference
job_word_count,job_char_count,0.9837839421515449,0.9837839421515449,0.09577812694686495,0.12624730311427254,job_word_count
word_count_ratio,word_count_difference,0.9755549761052729,0.9755549761052729,0.07144034000460603,0.08688423932005074,word_count_ratio
word_count_ratio,char_count_difference,0.9746539383742578,0.9746539383742578,0.07144034000460603,0.08666565287502472,word_count_ratio
resume_word_count,word_count_ratio,0.9699635772746109,0.9699635772746109,0.09201469941827621,0.07144034000460603,word_count_ratio
char_count_ratio,char_count_difference,0.9690001130045166,0.9690001130045166,0.06715209352367797,0.08666565287502472,char_count_ratio
resume_char_count,word_count_ratio,0.9676189117113878,0.9676189117113878,0.0959775221653696,0.07144034000460603,word_count_ratio
char_count_ratio,word_count_difference,0.9638423260029657,0.9638423260029657,0.06715209352367797,0.08688423932005074,char_count_ratio
resume_char_count,char_count_ratio,0.959656268074432,0.959656268074432,0.0959775221653696,0.06715209352367797,char_count_ratio
resume_word_count,char_count_ratio,0.956781572598485,0.956781572598485,0.09201469941827621,0.06715209352367797,char_count_ratio
resume_lexical_diversity,lexical_diversity_difference,0.9422628864845439,0.9422628864845439,0.09071191690824107,0.11069928398829934,resume_lexical_diversity
job_sentence_count,job_avg_sentence_length,-0.9143861888419372,0.9143861888419372,0.12826159211488608,0.15461452928685543,job_sentence_count
